pitch mph = 78, targetY = 1.7, endY = 0.79
pitch mph = 78, targetY = 1.7, endY = 0.73
pitch mph = 78, targetY = 1.7, endY = 0.66
pitch mph = 78, targetY = 1.7, endY = 0.59
pitch mph = 78, targetY = 1.8, endY = 0.89
pitch mph = 78, targetY = 1.8, endY = 0.83
pitch mph = 78, targetY = 1.8, endY = 0.76
pitch mph = 78, targetY = 1.8, endY = 0.70
pitch mph = 78, targetY = 1.9, endY = 0.99
pitch mph = 78, targetY = 1.9, endY = 0.93
pitch mph = 78, targetY = 1.9, endY = 0.87
pitch mph = 78, targetY = 1.9, endY = 0.81
pitch mph = 78, targetY = 2, endY = 1.09
pitch mph = 78, targetY = 2, endY = 1.03
pitch mph = 78, targetY = 2, endY = 0.97
pitch mph = 78, targetY = 2, endY = 0.91
pitch mph = 78, targetY = 2.1, endY = 1.19
pitch mph = 78, targetY = 2.1, endY = 1.13
pitch mph = 78, targetY = 2.1, endY = 1.08
pitch mph = 78, targetY = 2.1, endY = 1.02
pitch mph = 78, targetY = 2.2, endY = 1.18
pitch mph = 78, targetY = 2.2, endY = 1.13
pitch mph = 79, targetY = 1.5, endY = 0.60
pitch mph = 79, targetY = 1.5, endY = 0.52
pitch mph = 79, targetY = 1.6, endY = 0.70
pitch mph = 79, targetY = 1.6, endY = 0.63
pitch mph = 79, targetY = 1.6, endY = 0.56
pitch mph = 79, targetY = 1.7, endY = 0.79
pitch mph = 79, targetY = 1.7, endY = 0.73
pitch mph = 79, targetY = 1.7, endY = 0.66
pitch mph = 79, targetY = 1.8, endY = 0.89
pitch mph = 79, targetY = 1.8, endY = 0.83
pitch mph = 79, targetY = 1.8, endY = 0.77
pitch mph = 79, targetY = 1.9, endY = 0.99
pitch mph = 79, targetY = 1.9, endY = 0.93
pitch mph = 79, targetY = 1.9, endY = 0.87
pitch mph = 79, targetY = 1.9, endY = 0.81
pitch mph = 79, targetY = 2, endY = 1.09
pitch mph = 79, targetY = 2, endY = 1.04
pitch mph = 79, targetY = 2, endY = 0.98
pitch mph = 79, targetY = 2, endY = 0.92
pitch mph = 79, targetY = 2.1, endY = 1.19
pitch mph = 79, targetY = 2.1, endY = 1.14
pitch mph = 79, targetY = 2.1, endY = 1.09
pitch mph = 79, targetY = 2.1, endY = 1.03
pitch mph = 79, targetY = 2.2, endY = 1.19
pitch mph = 79, targetY = 2.2, endY = 1.14
pitch mph = 80, targetY = 1.5, endY = 0.66
pitch mph = 80, targetY = 1.5, endY = 0.60
pitch mph = 80, targetY = 1.5, endY = 0.53
